"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"random-bias"
"12/14/2021 18:37:18:785 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","random-bias-threshold","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"24","15","0.2","random-bias","500","25","1","0","0"
"20","15","0.2","random-bias","500","25","3","0.5917030567685589","0.7707423580786026"
"20","15","0.2","random-bias","500","25","4","0.607645875251509","0.7826961770623743"
"20","15","0.2","random-bias","500","25","5","0.608433734939759","0.7831325301204819"
"25","15","0.2","random-bias","500","25","0","0","0"
"25","15","0.2","random-bias","500","25","1","0.16666666666666666","0.2222222222222222"
"25","15","0.2","random-bias","500","25","2","0.07142857142857142","0.09523809523809523"
"21","15","0.2","random-bias","500","25","0","0","0"
"21","15","0.2","random-bias","500","25","1","0.35365853658536583","0.573170731707317"
"21","15","0.2","random-bias","500","25","2","0.4141791044776119","0.5485074626865671"
"23","15","0.2","random-bias","500","25","0","0","0"
"21","15","0.2","random-bias","500","25","3","0.4401805869074492","0.5598194130925508"
"23","15","0.2","random-bias","500","25","1","0.7647058823529411","0.8529411764705882"
"26","15","0.2","random-bias","500","25","0","0","0"
"21","15","0.2","random-bias","500","25","4","0.4418604651162791","0.5644820295983086"
"14","15","0.2","random-bias","500","25","2","0.4169184290030212","0.5226586102719033"
"26","15","0.2","random-bias","500","25","1","0.125","0.125"
"27","15","0.2","random-bias","500","25","0","0","0"
"14","15","0.2","random-bias","500","25","3","0.4630021141649049","0.5835095137420718"
"26","15","0.2","random-bias","500","25","2","0.06711409395973154","0.06711409395973154"
"27","15","0.2","random-bias","500","25","1","0.28125","0.40625"
"28","15","0.2","random-bias","500","25","0","0","0"
"14","15","0.2","random-bias","500","25","4","0.46804123711340206","0.5938144329896907"
"21","15","0.2","random-bias","500","25","5","0.4442105263157895","0.5663157894736842"
"28","15","0.2","random-bias","500","25","1","0.45714285714285713","0.5428571428571428"
"14","15","0.2","random-bias","500","25","5","0.4691358024691358","0.5946502057613169"
"27","15","0.2","random-bias","500","25","2","0.2894736842105263","0.35789473684210527"
"23","15","0.2","random-bias","500","25","2","0.6501547987616099","0.7616099071207431"
"28","15","0.2","random-bias","500","25","2","0.39520958083832336","0.48502994011976047"
"27","15","0.2","random-bias","500","25","3","0.2735294117647059","0.35294117647058826"
"27","15","0.2","random-bias","500","25","4","0.29974811083123426","0.37279596977329976"
"28","15","0.2","random-bias","500","25","3","0.42245989304812837","0.5347593582887701"
"21","15","0.2","random-bias","500","25","6","0.44537815126050423","0.5672268907563025"
"23","15","0.2","random-bias","500","25","3","0.6589958158995816","0.7866108786610879"
"27","15","0.2","random-bias","500","25","5","0.29397590361445786","0.3710843373493976"
"27","15","0.2","random-bias","500","25","6","0.2942583732057416","0.3708133971291866"
"30","15","0.2","random-bias","500","25","0","0","0"
"28","15","0.2","random-bias","500","25","4","0.45905172413793105","0.5754310344827587"
"28","15","0.2","random-bias","500","25","5","0.46361746361746364","0.577962577962578"
"23","15","0.2","random-bias","500","25","4","0.6625766871165644","0.7914110429447853"
"29","15","0.2","random-bias","500","25","0","0","0"
"28","15","0.2","random-bias","500","25","6","0.4658385093167702","0.5797101449275363"
"30","15","0.2","random-bias","500","25","1","0","0"
"23","15","0.2","random-bias","500","25","5","0.6632653061224489","0.7918367346938775"
"29","15","0.2","random-bias","500","25","1","0","0"
"36","15","0.2","random-bias","500","25","0","0","0"
"31","15","0.2","random-bias","500","25","0","0","0"
"31","15","0.2","random-bias","500","25","1","0.6666666666666666","0.7941176470588235"
"34","15","0.2","random-bias","500","25","0","0","0"
"35","15","0.2","random-bias","500","25","0","0","0"
"35","15","0.2","random-bias","500","25","1","0.4019607843137255","0.5784313725490197"
"34","15","0.2","random-bias","500","25","1","0.5555555555555556","0.7654320987654321"
"33","15","0.2","random-bias","500","25","0","0","0"
"31","15","0.2","random-bias","500","25","2","0.6237113402061856","0.770618556701031"
"33","15","0.2","random-bias","500","25","1","0.12857142857142856","0.17142857142857143"
"34","15","0.2","random-bias","500","25","2","0.6229508196721312","0.7770491803278688"
"35","15","0.2","random-bias","500","25","2","0.42517006802721086","0.5612244897959183"
"38","15","0.2","random-bias","500","25","0","0","0"
"36","15","0.2","random-bias","500","25","1","0.16","0.2"
"33","15","0.2","random-bias","500","25","2","0.06338028169014084","0.08450704225352113"
"31","15","0.2","random-bias","500","25","3","0.6306122448979592","0.7857142857142857"
"34","15","0.2","random-bias","500","25","3","0.631578947368421","0.7978947368421052"
"35","15","0.2","random-bias","500","25","3","0.4449760765550239","0.583732057416268"
"32","15","0.2","random-bias","500","25","0","0","0"
"36","15","0.2","random-bias","500","25","2","0.08333333333333333","0.10416666666666667"
"35","15","0.2","random-bias","500","25","4","0.44719101123595506","0.5910112359550562"
"34","15","0.2","random-bias","500","25","4","0.6342975206611571","0.8016528925619835"
"38","15","0.2","random-bias","500","25","1","0.5151515151515151","0.5833333333333334"
"31","15","0.2","random-bias","500","25","4","0.6336032388663968","0.7874493927125507"
"35","15","0.2","random-bias","500","25","5","0.44988864142538976","0.5924276169265034"
"32","15","0.2","random-bias","500","25","1","0.13978494623655913","0.22580645161290322"
"32","15","0.2","random-bias","500","25","2","0.07142857142857142","0.11538461538461539"
"35","15","0.2","random-bias","500","25","6","0.45111111111111113","0.5933333333333334"
"35","15","0.2","random-bias","500","25","7","0.4501108647450111","0.5920177383592018"
"38","15","0.2","random-bias","500","25","2","0.44226044226044225","0.5233415233415234"
"38","15","0.2","random-bias","500","25","3","0.4547325102880658","0.5411522633744856"
"38","15","0.2","random-bias","500","25","4","0.45807770961145194","0.5439672801635992"
"38","15","0.2","random-bias","500","25","5","0.45918367346938777","0.5448979591836735"
"37","15","0.2","random-bias","500","25","0","0","0"
"37","15","0.2","random-bias","500","25","1","0.36666666666666664","0.45"
"37","15","0.2","random-bias","500","25","2","0.2651162790697674","0.3395348837209302"
"40","15","0.2","random-bias","500","25","0","0","0"
"39","15","0.2","random-bias","500","25","0","0","0"
"37","15","0.2","random-bias","500","25","3","0.2972972972972973","0.38738738738738737"
"40","15","0.2","random-bias","500","25","1","0.24074074074074073","0.35185185185185186"
"39","15","0.2","random-bias","500","25","1","0.21052631578947367","0.40350877192982454"
"37","15","0.2","random-bias","500","25","4","0.32299741602067183","0.4186046511627907"
"40","15","0.2","random-bias","500","25","2","0.2013888888888889","0.2708333333333333"
"37","15","0.2","random-bias","500","25","5","0.32273838630806845","0.4180929095354523"
"39","15","0.2","random-bias","500","25","2","0.26380368098159507","0.37423312883435583"
"37","15","0.2","random-bias","500","25","6","0.3253012048192771","0.41927710843373495"
"40","15","0.2","random-bias","500","25","3","0.22857142857142856","0.3142857142857143"
"37","15","0.2","random-bias","500","25","7","0.3229665071770335","0.41626794258373206"
"40","15","0.2","random-bias","500","25","4","0.23676880222841226","0.3231197771587744"
"40","15","0.2","random-bias","500","25","5","0.2400990099009901","0.3193069306930693"
"43","15","0.2","random-bias","500","25","0","0","0"
"40","15","0.2","random-bias","500","25","6","0.24641148325358853","0.3229665071770335"
"40","15","0.2","random-bias","500","25","7","0.24882629107981222","0.3286384976525822"
"43","15","0.2","random-bias","500","25","1","0.6226415094339622","0.6981132075471698"
"40","15","0.2","random-bias","500","25","8","0.25116279069767444","0.33488372093023255"
"41","15","0.2","random-bias","500","25","0","0","0"
"40","15","0.2","random-bias","500","25","9","0.24942263279445728","0.3325635103926097"
"41","15","0.2","random-bias","500","25","1","0.6304347826086957","0.7934782608695652"
"43","15","0.2","random-bias","500","25","2","0.611336032388664","0.7044534412955465"
"39","15","0.2","random-bias","500","25","3","0.22291021671826625","0.3065015479876161"
"41","15","0.2","random-bias","500","25","2","0.6320224719101124","0.7808988764044944"
"39","15","0.2","random-bias","500","25","4","0.24681933842239187","0.3333333333333333"
"39","15","0.2","random-bias","500","25","5","0.26046511627906976","0.3558139534883721"
"41","15","0.2","random-bias","500","25","3","0.6367432150313153","0.8037578288100209"
"39","15","0.2","random-bias","500","25","6","0.2669683257918552","0.3597285067873303"
"43","15","0.2","random-bias","500","25","3","0.6531049250535332","0.7815845824411135"
"44","15","0.2","random-bias","500","25","0","0","0"
"39","15","0.2","random-bias","500","25","7","0.26905829596412556","0.3632286995515695"
"41","15","0.2","random-bias","500","25","4","0.6329896907216495","0.797938144329897"
"41","15","0.2","random-bias","500","25","5","0.6337448559670782","0.7983539094650206"
"44","15","0.2","random-bias","500","25","1","0.24074074074074073","0.3888888888888889"
"44","15","0.2","random-bias","500","25","2","0.23668639053254437","0.3076923076923077"
"44","15","0.2","random-bias","500","25","3","0.24503311258278146","0.31125827814569534"
"43","15","0.2","random-bias","500","25","4","0.6659919028340081","0.7935222672064778"
"43","15","0.2","random-bias","500","25","5","0.6646464646464646","0.793939393939394"
"44","15","0.2","random-bias","500","25","4","0.26153846153846155","0.33076923076923076"
"44","15","0.2","random-bias","500","25","5","0.2678983833718245","0.3394919168591224"
"44","15","0.2","random-bias","500","25","6","0.27927927927927926","0.3490990990990991"
"44","15","0.2","random-bias","500","25","7","0.2793791574279379","0.35033259423503327"
"45","15","0.2","random-bias","500","25","0","0","0"
"45","15","0.2","random-bias","500","25","1","0.5588235294117647","0.7647058823529411"
"45","15","0.2","random-bias","500","25","2","0.5641025641025641","0.7051282051282052"
"45","15","0.2","random-bias","500","25","3","0.6352657004830918","0.7874396135265701"
"45","15","0.2","random-bias","500","25","4","0.6359832635983264","0.7928870292887029"
"42","15","0.2","random-bias","500","25","0","0","0"
"45","15","0.2","random-bias","500","25","5","0.6354166666666666","0.7916666666666666"
"42","15","0.2","random-bias","500","25","1","0","0"
"48","15","0.2","random-bias","500","25","0","0","0"
"46","15","0.2","random-bias","500","25","0","0","0"
"49","15","0.2","random-bias","500","25","0","0","0"
"49","15","0.2","random-bias","500","25","1","0.4935064935064935","0.5714285714285714"
"48","15","0.2","random-bias","500","25","1","0.3103448275862069","0.3620689655172414"
"46","15","0.2","random-bias","500","25","1","0.1797752808988764","0.2247191011235955"
"46","15","0.2","random-bias","500","25","2","0.08695652173913043","0.10869565217391304"
"49","15","0.2","random-bias","500","25","2","0.45901639344262296","0.5606557377049181"
"48","15","0.2","random-bias","500","25","2","0.23243243243243245","0.31351351351351353"
"47","15","0.2","random-bias","500","25","0","0","0"
"48","15","0.2","random-bias","500","25","3","0.254416961130742","0.33568904593639576"
"47","15","0.2","random-bias","500","25","1","0.5116279069767442","0.7325581395348837"
"48","15","0.2","random-bias","500","25","4","0.276657060518732","0.3631123919308357"
"48","15","0.2","random-bias","500","25","5","0.27882037533512066","0.36193029490616624"
"49","15","0.2","random-bias","500","25","3","0.4531914893617021","0.5787234042553191"
"48","15","0.2","random-bias","500","25","6","0.28720626631853785","0.370757180156658"
"49","15","0.2","random-bias","500","25","4","0.4628099173553719","0.5847107438016529"
"50","15","0.2","random-bias","500","25","0","0","0"
"48","15","0.2","random-bias","500","25","7","0.2868217054263566","0.37209302325581395"
"49","15","0.2","random-bias","500","25","5","0.46502057613168724","0.5864197530864198"
"50","15","0.2","random-bias","500","25","1","0.39622641509433965","0.6226415094339622"
"47","15","0.2","random-bias","500","25","2","0.5700636942675159","0.7547770700636943"
"50","15","0.2","random-bias","500","25","2","0.4540229885057471","0.5689655172413793"
"50","15","0.2","random-bias","500","25","3","0.47244094488188976","0.5984251968503937"
"47","15","0.2","random-bias","500","25","3","0.592901878914405","0.7724425887265136"
"47","15","0.2","random-bias","500","25","4","0.594758064516129","0.780241935483871"
"50","15","0.2","random-bias","500","25","4","0.4773218142548596","0.6004319654427646"
"50","15","0.2","random-bias","500","25","5","0.47983014861995754","0.6029723991507431"
"51","15","0.2","random-bias","500","25","0","0","0"
"51","15","0.2","random-bias","500","25","1","0.16129032258064516","0.20967741935483872"
"51","15","0.2","random-bias","500","25","2","0.09174311926605505","0.11926605504587157"
"53","15","0.2","random-bias","500","25","0","0","0"
"53","15","0.2","random-bias","500","25","1","0","0"
"56","15","0.2","random-bias","500","25","0","0","0"
"54","15","0.2","random-bias","500","25","0","0","0"
"54","15","0.2","random-bias","500","25","1","0.45614035087719296","0.5789473684210527"
"56","15","0.2","random-bias","500","25","1","0","0"
"54","15","0.2","random-bias","500","25","2","0.43873517786561267","0.5217391304347826"
"54","15","0.2","random-bias","500","25","3","0.46770601336302897","0.579064587973274"
"54","15","0.2","random-bias","500","25","4","0.483402489626556","0.5975103734439834"
"54","15","0.2","random-bias","500","25","5","0.4834710743801653","0.5991735537190083"
"52","15","0.2","random-bias","500","25","0","0","0"
"55","15","0.2","random-bias","500","25","0","0","0"
"52","15","0.2","random-bias","500","25","1","0.16666666666666666","0.3125"
"52","15","0.2","random-bias","500","25","2","0.1509433962264151","0.2830188679245283"
"55","15","0.2","random-bias","500","25","1","0.618421052631579","0.7631578947368421"
"58","15","0.2","random-bias","500","25","0","0","0"
"52","15","0.2","random-bias","500","25","3","0.1952662721893491","0.3076923076923077"
"58","15","0.2","random-bias","500","25","1","0.4074074074074074","0.5370370370370371"
"55","15","0.2","random-bias","500","25","2","0.6503496503496503","0.8076923076923077"
"52","15","0.2","random-bias","500","25","4","0.2109090909090909","0.3018181818181818"
"52","15","0.2","random-bias","500","25","5","0.2204724409448819","0.30708661417322836"
"55","15","0.2","random-bias","500","25","3","0.673728813559322","0.826271186440678"
"58","15","0.2","random-bias","500","25","2","0.4083333333333333","0.5375"
"52","15","0.2","random-bias","500","25","6","0.22877358490566038","0.3231132075471698"
"57","15","0.2","random-bias","500","25","0","0","0"
"55","15","0.2","random-bias","500","25","4","0.6747967479674797","0.823170731707317"
"52","15","0.2","random-bias","500","25","7","0.24263038548752835","0.3401360544217687"
"57","15","0.2","random-bias","500","25","1","0","0"
"55","15","0.2","random-bias","500","25","5","0.6754563894523327","0.8235294117647058"
"58","15","0.2","random-bias","500","25","3","0.4292237442922374","0.5616438356164384"
"59","15","0.2","random-bias","500","25","0","0","0"
"59","15","0.2","random-bias","500","25","1","0.2826086956521739","0.391304347826087"
"58","15","0.2","random-bias","500","25","4","0.45114345114345117","0.5862785862785863"
"59","15","0.2","random-bias","500","25","2","0.24691358024691357","0.30864197530864196"
"58","15","0.2","random-bias","500","25","5","0.44969199178644764","0.5852156057494866"
"59","15","0.2","random-bias","500","25","3","0.26523297491039427","0.33691756272401435"
"59","15","0.2","random-bias","500","25","4","0.2861271676300578","0.36416184971098264"
"59","15","0.2","random-bias","500","25","5","0.2950391644908616","0.370757180156658"
"59","15","0.2","random-bias","500","25","6","0.2935323383084577","0.3756218905472637"
"59","15","0.2","random-bias","500","25","7","0.297029702970297","0.3787128712871287"
"59","15","0.2","random-bias","500","25","8","0.29876543209876544","0.3802469135802469"
"61","15","0.2","random-bias","500","25","0","0","0"
"52","15","0.2","random-bias","500","25","8","0.2483221476510067","0.34451901565995524"
"60","15","0.2","random-bias","500","25","0","0","0"
"61","15","0.2","random-bias","500","25","1","0.4","0.61"
"60","15","0.2","random-bias","500","25","1","0.5887096774193549","0.7258064516129032"
"60","15","0.2","random-bias","500","25","2","0.6033254156769596","0.7458432304038005"
"61","15","0.2","random-bias","500","25","2","0.4358108108108108","0.5540540540540541"
"60","15","0.2","random-bias","500","25","3","0.6131687242798354","0.7510288065843621"
"61","15","0.2","random-bias","500","25","3","0.4537037037037037","0.5763888888888888"
"60","15","0.2","random-bias","500","25","4","0.6122448979591837","0.7510204081632653"
"61","15","0.2","random-bias","500","25","4","0.4717391304347826","0.5934782608695652"
"61","15","0.2","random-bias","500","25","5","0.4753747323340471","0.5952890792291221"
"62","15","0.2","random-bias","500","25","0","0","0"
"62","15","0.2","random-bias","500","25","1","0.19101123595505617","0.2247191011235955"
"62","15","0.2","random-bias","500","25","2","0.09444444444444444","0.1111111111111111"
"64","15","0.2","random-bias","500","25","0","0","0"
"64","15","0.2","random-bias","500","25","1","0.6372549019607843","0.803921568627451"
"65","15","0.2","random-bias","500","25","0","0","0"
"64","15","0.2","random-bias","500","25","2","0.5879265091863517","0.7690288713910761"
"65","15","0.2","random-bias","500","25","1","0.3888888888888889","0.5370370370370371"
"64","15","0.2","random-bias","500","25","3","0.6037344398340249","0.7759336099585062"
"64","15","0.2","random-bias","500","25","4","0.6049382716049383","0.7777777777777778"
"65","15","0.2","random-bias","500","25","2","0.43661971830985913","0.5352112676056338"
"66","15","0.2","random-bias","500","25","0","0","0"
"65","15","0.2","random-bias","500","25","3","0.4363207547169811","0.5448113207547169"
"66","15","0.2","random-bias","500","25","1","0","0"
"65","15","0.2","random-bias","500","25","4","0.45168067226890757","0.5609243697478992"
"63","15","0.2","random-bias","500","25","0","0","0"
"65","15","0.2","random-bias","500","25","5","0.45322245322245325","0.5654885654885655"
"63","15","0.2","random-bias","500","25","1","0.2","0.23636363636363636"
"63","15","0.2","random-bias","500","25","2","0.07333333333333333","0.08666666666666667"
"69","15","0.2","random-bias","500","25","0","0","0"
"69","15","0.2","random-bias","500","25","1","0","0"
"68","15","0.2","random-bias","500","25","0","0","0"
"68","15","0.2","random-bias","500","25","1","0.10588235294117647","0.10588235294117647"
"68","15","0.2","random-bias","500","25","2","0.05732484076433121","0.05732484076433121"
"70","15","0.2","random-bias","500","25","0","0","0"
"70","15","0.2","random-bias","500","25","1","0.39473684210526316","0.5263157894736842"
"70","15","0.2","random-bias","500","25","2","0.4108527131782946","0.5155038759689923"
"70","15","0.2","random-bias","500","25","3","0.45861297539149887","0.5570469798657718"
"67","15","0.2","random-bias","500","25","0","0","0"
"70","15","0.2","random-bias","500","25","4","0.46361746361746364","0.5717255717255717"
"70","15","0.2","random-bias","500","25","5","0.4616977225672878","0.5734989648033126"
"67","15","0.2","random-bias","500","25","1","0.27835051546391754","0.36082474226804123"
"67","15","0.2","random-bias","500","25","2","0.22519083969465647","0.3015267175572519"
"67","15","0.2","random-bias","500","25","3","0.23796791443850268","0.32887700534759357"
"67","15","0.2","random-bias","500","25","4","0.2511961722488038","0.3397129186602871"
"67","15","0.2","random-bias","500","25","5","0.26018099547511314","0.34841628959276016"
"71","15","0.2","random-bias","500","25","0","0","0"
"67","15","0.2","random-bias","500","25","6","0.26057906458797325","0.34966592427616927"
"67","15","0.2","random-bias","500","25","7","0.2616407982261641","0.35033259423503327"
"71","15","0.2","random-bias","500","25","1","0","0"
"67","15","0.2","random-bias","500","25","8","0.26327433628318586","0.35176991150442477"
"72","15","0.2","random-bias","500","25","0","0","0"
"75","15","0.2","random-bias","500","25","0","0","0"
"72","15","0.2","random-bias","500","25","1","0.620253164556962","0.759493670886076"
"73","15","0.2","random-bias","500","25","0","0","0"
"74","15","0.2","random-bias","500","25","0","0","0"
"73","15","0.2","random-bias","500","25","1","0.43023255813953487","0.6162790697674418"
"72","15","0.2","random-bias","500","25","2","0.6357827476038339","0.792332268370607"
"74","15","0.2","random-bias","500","25","1","0.488","0.624"
"75","15","0.2","random-bias","500","25","1","0.6391752577319587","0.845360824742268"
"73","15","0.2","random-bias","500","25","2","0.42955326460481097","0.5498281786941581"
"72","15","0.2","random-bias","500","25","3","0.6638297872340425","0.8191489361702128"
"72","15","0.2","random-bias","500","25","4","0.6550308008213552","0.813141683778234"
"74","15","0.2","random-bias","500","25","2","0.4470899470899471","0.5714285714285714"
"73","15","0.2","random-bias","500","25","3","0.4399092970521542","0.564625850340136"
"74","15","0.2","random-bias","500","25","3","0.46234309623430964","0.5983263598326359"
"74","15","0.2","random-bias","500","25","4","0.46421267893660534","0.6012269938650306"
"73","15","0.2","random-bias","500","25","4","0.44468085106382976","0.574468085106383"
"75","15","0.2","random-bias","500","25","2","0.6472148541114059","0.8090185676392573"
"73","15","0.2","random-bias","500","25","5","0.4472573839662447","0.5780590717299579"
"75","15","0.2","random-bias","500","25","3","0.6482617586912065","0.8179959100204499"
"75","15","0.2","random-bias","500","25","4","0.6490872210953347","0.8194726166328601"
"77","15","0.2","random-bias","500","25","0","0","0"
"77","15","0.2","random-bias","500","25","1","0","0"
"76","15","0.2","random-bias","500","25","0","0","0"
"76","15","0.2","random-bias","500","25","1","0.34782608695652173","0.5"
"76","15","0.2","random-bias","500","25","2","0.43617021276595747","0.5478723404255319"
